cs	popsize	wij	s	f	inithom	inithet	p	naa	ntrial	q	err
1	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	475	970000	4.896907e-04	4.402758e-05
2	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
3	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
5	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
8	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
13	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
21	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
34	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
55	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
89	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
144	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
233	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	16	100230000	1.596328e-07	7.822009e-08
377	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	388	64780000	5.989503e-06	5.959773e-07
610	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	387	8010000	4.831461e-05	4.813584e-06
987	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	428	2470000	1.732794e-04	1.641509e-05
1597	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	448	1340000	3.343284e-04	3.095406e-05
2584	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	484	1080000	4.481481e-04	3.991698e-05
4181	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	488	1020000	4.784314e-04	4.243868e-05
6765	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	484	930000	5.204301e-04	4.635352e-05
1	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	1	2	0.002000	865	430000	2.011628e-03	1.339240e-04
2	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
3	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
5	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
8	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
13	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
21	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
34	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
55	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
89	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
144	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	1	2	0.002000	1	100230000	9.977053e-09	1.955502e-08
233	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	1	2	0.002000	289	100230000	2.883368e-06	3.324349e-07
377	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	1	2	0.002000	411	6130000	6.704731e-05	6.481894e-06
610	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	1	2	0.002000	466	1250000	3.728000e-04	3.384216e-05
987	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	1	2	0.002000	605	660000	9.166667e-04	7.301140e-05
1597	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	1	2	0.002000	778	460000	1.691304e-03	1.187464e-04
2584	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	1	2	0.002000	821	440000	1.865909e-03	1.275174e-04
4181	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	1	2	0.002000	830	420000	1.976190e-03	1.343125e-04
6765	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	1	2	0.002000	889	430000	2.067442e-03	1.357654e-04
1	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	437	1690000	2.585799e-04	2.424119e-05
2	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
3	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
5	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
8	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
13	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
21	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
34	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
55	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
89	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
144	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
233	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	15	100230000	1.496558e-07	7.573627e-08
377	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	385	54940000	7.007645e-06	6.999971e-07
610	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	390	5960000	6.543624e-05	6.494234e-06
987	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	440	2180000	2.018349e-04	1.885741e-05
1597	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	480	1320000	3.636364e-04	3.252549e-05
2584	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	511	1020000	5.009804e-04	4.342677e-05
4181	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	531	1040000	5.105769e-04	4.341693e-05
6765	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	522	970000	5.381443e-04	4.615329e-05
1	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	1	2	0.002000	622	670000	9.283582e-04	7.292472e-05
2	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
3	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
5	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
8	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
13	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
21	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
34	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
55	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
89	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
144	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	1	2	0.002000	1	100230000	9.977053e-09	1.955502e-08
233	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	1	2	0.002000	304	100230000	3.033024e-06	3.409530e-07
377	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	1	2	0.002000	395	6290000	6.279809e-05	6.192847e-06
610	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	1	2	0.002000	454	1130000	4.017699e-04	3.695033e-05
987	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	1	2	0.002000	622	570000	1.091228e-03	8.571154e-05
1597	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	1	2	0.002000	749	500000	1.498000e-03	1.072016e-04
2584	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	1	2	0.002000	804	450000	1.786667e-03	1.233909e-04
4181	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	1	2	0.002000	872	430000	2.027907e-03	1.344637e-04
6765	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	1	2	0.002000	839	430000	1.951163e-03	1.318999e-04
1	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	8	100230000	7.981642e-08	5.530996e-08
2	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
3	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
5	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
8	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
13	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
21	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
34	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
55	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
89	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
144	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
233	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	23	100230000	2.294722e-07	9.378259e-08
377	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	388	72190000	5.374706e-06	5.348029e-07
610	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	400	8070000	4.956629e-05	4.857377e-06
987	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	413	2590000	1.594595e-04	1.537789e-05
1597	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	440	1410000	3.120567e-04	2.915382e-05
2584	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	488	1090000	4.477064e-04	3.971387e-05
4181	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	510	1070000	4.766355e-04	4.135746e-05
6765	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	480	1160000	4.137931e-04	3.701083e-05
1	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	1	2	0.002000	50	100230000	4.988526e-07	1.382749e-07
2	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
3	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
5	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
8	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
