cs	popsize	wij	s	f	inithom	inithet	p	naa	ntrial	q	err
1	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	0	1	0.000500	492	1010000	4.871287e-04	4.303397e-05
2	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	0	1	0.000500	506	1050000	4.819048e-04	4.197951e-05
3	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	0	1	0.000500	500	970000	5.154639e-04	4.517076e-05
5	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	0	1	0.000500	472	1000000	4.720000e-04	4.257205e-05
8	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	0	1	0.000500	474	880000	5.386364e-04	4.847810e-05
13	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	0	1	0.000500	499	1020000	4.892157e-04	4.291409e-05
21	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	0	1	0.000500	505	1120000	4.508929e-04	3.931749e-05
34	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	0	1	0.000500	526	1160000	4.534483e-04	3.874293e-05
55	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	0	1	0.000500	513	990000	5.181818e-04	4.482982e-05
89	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	0	1	0.000500	497	1100000	4.518182e-04	3.971398e-05
144	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	0	1	0.000500	497	990000	5.020202e-04	4.412554e-05
233	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	0	1	0.000500	477	1070000	4.457944e-04	3.999767e-05
377	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	0	1	0.000500	515	970000	5.309278e-04	4.584296e-05
610	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	0	1	0.000500	508	980000	5.183673e-04	4.506603e-05
987	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	0	1	0.000500	494	960000	5.145833e-04	4.536663e-05
1	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	1	2	0.002000	876	400000	2.190000e-03	1.448679e-04
2	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	1	2	0.002000	877	430000	2.039535e-03	1.348479e-04
3	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	1	2	0.002000	881	440000	2.002273e-03	1.320858e-04
5	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	1	2	0.002000	833	410000	2.031707e-03	1.378330e-04
8	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	1	2	0.002000	878	410000	2.141463e-03	1.414992e-04
13	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	1	2	0.002000	819	420000	1.950000e-03	1.334212e-04
21	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	1	2	0.002000	827	430000	1.923256e-03	1.309551e-04
