cs	popsize	wij	s	f	inithom	inithet	p	naa	ntrial	q	err
1	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	509	1070000	4.757009e-04	4.131691e-05
2	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
144	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
233	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
377	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	34	100230000	3.392198e-07	1.140244e-07
610	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	389	81990000	4.744481e-06	4.714862e-07
987	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	389	23610000	1.647607e-05	1.637311e-06
1597	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	392	13810000	2.838523e-05	2.809954e-06
2584	1000	(1.000000,1.000000,1.000000)	0.000000	1.000000	0	1	0.000500	396	8740000	4.530892e-05	4.462543e-06
1	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	446	1810000	2.464088e-04	2.286606e-05
2	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
144	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
233	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	3	100230000	2.993116e-08	3.387029e-08
377	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	75	100230000	7.482790e-07	1.693514e-07
610	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	391	94960000	4.117523e-06	4.081341e-07
987	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	388	26460000	1.466364e-05	1.459079e-06
1597	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	392	15450000	2.537217e-05	2.511685e-06
2584	1000	(1.000000,0.999000,1.000000)	0.001000	1.000000	0	1	0.000500	393	8460000	4.645390e-05	4.592740e-06
1	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	4	100230000	3.990821e-08	3.911005e-08
2	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
144	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
233	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
377	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	57	100230000	5.686920e-07	1.476371e-07
610	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	324	100230000	3.232565e-06	3.519899e-07
987	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	388	23820000	1.628883e-05	1.620790e-06
1597	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	391	12160000	3.215461e-05	3.187160e-06
2584	1000	(1.000000,0.990000,1.000000)	0.010000	1.000000	0	1	0.000500	388	9560000	4.058577e-05	4.038362e-06
