cs	popsize	wij	s	f	inithom	inithet	p	naa	ntrial	q	err
1	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	10	0	0.010000	2687	270000	9.951852e-03	3.744159e-04
2	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	10	0	0.010000	2753	270000	1.019630e-02	3.789396e-04
3	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	10	0	0.010000	2690	270000	9.962963e-03	3.746228e-04
5	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	10	0	0.010000	2630	270000	9.740741e-03	3.704628e-04
8	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	10	0	0.010000	2819	270000	1.044074e-02	3.834076e-04
13	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	10	0	0.010000	2702	270000	1.000741e-02	3.754490e-04
21	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	10	0	0.010000	2730	270000	1.011111e-02	3.773696e-04
34	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	10	0	0.010000	2778	280000	9.921429e-03	3.671123e-04
55	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	10	0	0.010000	2717	270000	1.006296e-02	3.764791e-04
89	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	10	0	0.010000	2756	270000	1.020741e-02	3.791438e-04
144	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	10	0	0.010000	2771	270000	1.026296e-02	3.801636e-04
233	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	10	0	0.010000	2763	270000	1.023333e-02	3.796201e-04
377	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	10	0	0.010000	2773	270000	1.027037e-02	3.802993e-04
610	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	10	0	0.010000	2705	270000	1.001852e-02	3.756553e-04
987	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	10	0	0.010000	2526	270000	9.355556e-03	3.631348e-04
1597	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	10	0	0.010000	2755	270000	1.020370e-02	3.790758e-04
2584	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	10	0	0.010000	2690	280000	9.607143e-03	3.613083e-04
4181	1000	(1.000000,1.000000,1.000000)	0.000000	0.000000	10	0	0.010000	2750	270000	1.018519e-02	3.787352e-04
